path,diataxis_type,last_modified,age_months,external_links,links,status,size_kb
.claude/commands/GEMINI.md,explanation,2025-11-02,0.0,0,,duplicate,1.67
.claude/commands/changelog.md,how-to,2025-11-02,0.0,2,https://github.com/mneves75/dnschat#installation; https://github.com/username,current,5.87
.claude/commands/review-pr.md,explanation,2025-11-02,0.0,0,,current,11.68
.claude/skills/brainstorming/SKILL.md,explanation,2025-11-02,0.0,0,,duplicate,9.11
.claude/skills/condition-based-waiting/SKILL.md,explanation,2025-11-02,0.0,0,,duplicate,3.66
.claude/skills/defense-in-depth/SKILL.md,explanation,2025-11-02,0.0,0,,duplicate,3.79
.claude/skills/dispatching-parallel-agents/SKILL.md,reference,2025-11-02,0.0,0,,duplicate,6.05
.claude/skills/executing-plans/SKILL.md,reference,2025-11-02,0.0,0,,duplicate,2.22
.claude/skills/finishing-a-development-branch/SKILL.md,how-to,2025-11-02,0.0,0,,duplicate,4.15
.claude/skills/receiving-code-review/SKILL.md,reference,2025-11-02,0.0,0,,duplicate,5.97
.claude/skills/requesting-code-review/SKILL.md,how-to,2025-11-02,0.0,0,,duplicate,2.75
.claude/skills/requesting-code-review/code-reviewer.md,explanation,2025-11-02,0.0,0,,current,3.31
.claude/skills/root-cause-tracing/SKILL.md,unknown,2025-11-02,0.0,0,,duplicate,5.47
.claude/skills/sharing-skills/SKILL.md,how-to,2025-11-02,0.0,2,https://docs.github.com/en/authentication; https://cli.github.com/,duplicate,4.51
.claude/skills/subagent-driven-development/SKILL.md,reference,2025-11-02,0.0,0,,duplicate,4.96
.claude/skills/systematic-debugging/CREATION-LOG.md,reference,2025-11-02,0.0,0,,current,4.17
.claude/skills/systematic-debugging/SKILL.md,explanation,2025-11-02,0.0,0,,duplicate,9.75
.claude/skills/systematic-debugging/test-academic.md,unknown,2025-11-02,0.0,0,,current,0.64
.claude/skills/systematic-debugging/test-pressure-1.md,reference,2025-11-02,0.0,0,,current,1.86
.claude/skills/systematic-debugging/test-pressure-2.md,explanation,2025-11-02,0.0,0,,current,2.23
.claude/skills/systematic-debugging/test-pressure-3.md,explanation,2025-11-02,0.0,0,,current,2.63
.claude/skills/test-driven-development/SKILL.md,explanation,2025-11-02,0.0,0,,duplicate,9.51
.claude/skills/testing-anti-patterns/SKILL.md,explanation,2025-11-02,0.0,0,,duplicate,8.21
.claude/skills/testing-skills-with-subagents/SKILL.md,reference,2025-11-02,0.0,0,,duplicate,12.45
.claude/skills/testing-skills-with-subagents/examples/CLAUDE_MD_TESTING.md,reference,2025-11-02,0.0,0,,current,5.3
.claude/skills/using-git-worktrees/SKILL.md,reference,2025-11-02,0.0,0,,duplicate,5.38
.claude/skills/using-superpowers/SKILL.md,reference,2025-11-02,0.0,0,,duplicate,4.19
.claude/skills/verification-before-completion/SKILL.md,explanation,2025-11-02,0.0,0,,duplicate,4.1
.claude/skills/writing-plans/SKILL.md,explanation,2025-11-02,0.0,0,,duplicate,3.37
.claude/skills/writing-skills/SKILL.md,reference,2025-11-02,0.0,0,,duplicate,20.33
